track_id,as_of_date,current_rank,rank_1d_ago,rank_3d_ago,rank_7d_ago,velocity_1d,velocity_3d,velocity_7d,acceleration,volatility_14d,days_tracked_so_far,n_sources_today,label
16,2026-08-13,12,16.0,,,4.0,,,,,2,2,1.0
16,2026-08-14,11,12.0,16.0,,1.0,1.6666666666666667,,,2.6457513110645907,3,2,1.0
16,2026-08-15,11,11.0,16.0,,0.0,1.6666666666666667,,,2.3804761428476167,4,2,1.0
16,2026-08-16,12,11.0,12.0,,-1.0,0.0,,,2.073644135332772,5,2,0.0
16,2026-08-18,15,12.0,11.0,16.0,-3.0,-1.3333333333333333,0.14285714285714285,-1.476190476190476,2.136976056643281,6,2,1.0
16,2026-08-20,20,15.0,12.0,12.0,-5.0,-2.6666666666666665,-1.1428571428571428,-1.5238095238095237,3.338091841585121,7,2,1.0
16,2026-08-21,22,20.0,15.0,11.0,-2.0,-2.3333333333333335,-1.5714285714285714,-0.7619047619047621,4.223657859520077,8,2,1.0
16,2026-08-22,20,22.0,15.0,11.0,2.0,-1.6666666666666667,-1.2857142857142858,-0.38095238095238093,4.304390523381652,9,2,1.0
16,2026-08-23,15,20.0,20.0,12.0,5.0,1.6666666666666667,-0.42857142857142855,2.0952380952380953,4.060651288757616,10,2,1.0
16,2026-08-24,13,15.0,22.0,12.0,2.0,3.0,-0.14285714285714285,3.142857142857143,3.9196474795109273,11,2,
16,2026-08-25,14,13.0,20.0,15.0,-1.0,2.0,0.14285714285714285,1.8571428571428572,3.752776749732568,12,2,1.0
16,2026-08-26,14,14.0,15.0,15.0,0.0,0.3333333333333333,0.14285714285714285,0.19047619047619047,3.7527767497325675,13,2,1.0
16,2026-08-27,14,14.0,13.0,20.0,0.0,-0.3333333333333333,0.8571428571428571,-1.1904761904761905,3.601993749905595,14,2,
16,2026-08-28,13,14.0,14.0,22.0,1.0,0.3333333333333333,1.2857142857142858,-0.9523809523809526,3.546395786840927,15,2,
16,2026-08-31,12,,13.0,13.0,,0.3333333333333333,0.14285714285714285,0.19047619047619047,3.3844564489065974,16,2,
16,2026-09-14,14,,,,,,,,,17,2,
16,2026-09-15,15,14.0,,,-1.0,,,,,18,2,
17,2026-08-11,17,,,,,,,,,1,1,0.0
17,2026-08-13,23,17.0,,,-6.0,,,,,2,2,
17,2026-08-14,27,23.0,17.0,,-4.0,-3.3333333333333335,,,5.033222956847167,3,1,
17,2026-08-15,34,27.0,17.0,,-7.0,-5.666666666666667,,,7.135591542869215,4,1,
17,2026-08-16,43,34.0,23.0,,-9.0,-6.666666666666667,,,10.059821071967434,5,1,
18,2026-08-11,18,,,,,,,,,1,1,1.0
18,2026-08-13,8,18.0,,,10.0,,,,,2,2,1.0
18,2026-08-14,9,8.0,18.0,,-1.0,3.0,,,5.507570547286102,3,2,1.0
18,2026-08-15,10,9.0,18.0,,-1.0,2.6666666666666665,,,4.573474244670748,4,2,1.0
18,2026-08-16,10,10.0,8.0,,0.0,-0.6666666666666666,,,4.0,5,2,0.0
18,2026-08-18,14,10.0,10.0,18.0,-4.0,-1.3333333333333333,0.5714285714285714,-1.9047619047619047,3.7815340802378077,6,2,1.0
18,2026-08-20,19,14.0,10.0,8.0,-5.0,-3.0,-1.5714285714285714,-1.4285714285714286,4.466808810815721,7,2,1.0
18,2026-08-21,21,19.0,14.0,9.0,-2.0,-2.3333333333333335,-1.7142857142857142,-0.6190476190476193,5.097268175909804,8,2,1.0
18,2026-08-22,22,21.0,14.0,10.0,-1.0,-2.6666666666666665,-1.7142857142857142,-0.9523809523809523,5.525194818083592,9,2,1.0
18,2026-08-23,17,22.0,19.0,10.0,5.0,0.6666666666666666,-1.0,1.6666666666666665,5.266244708835067,10,2,1.0
18,2026-08-24,12,17.0,21.0,10.0,5.0,3.0,-0.2857142857142857,3.2857142857142856,5.066826153789695,11,2,
18,2026-08-25,12,12.0,22.0,14.0,0.0,3.3333333333333335,0.2857142857142857,3.047619047619048,4.886592665527574,12,2,1.0
18,2026-08-26,12,12.0,17.0,14.0,0.0,1.6666666666666667,0.2857142857142857,1.380952380952381,4.783177592227564,13,2,1.0
18,2026-08-27,12,12.0,12.0,19.0,0.0,0.0,1.0,-1.0,4.607685886729827,14,2,
18,2026-08-28,10,12.0,12.0,21.0,2.0,0.6666666666666666,1.5714285714285714,-0.9047619047619048,4.431819676050194,15,2,
18,2026-08-31,9,,10.0,12.0,,0.3333333333333333,0.42857142857142855,-0.09523809523809523,4.480259732730601,16,2,
18,2026-09-14,12,,,,,,,,,17,2,
18,2026-09-15,9,12.0,,,3.0,,,,,18,2,
19,2026-08-11,19,,,,,,,,,1,1,1.0
19,2026-08-13,10,19.0,,,9.0,,,,,2,2,1.0
19,2026-08-14,9,10.0,19.0,,1.0,3.3333333333333335,,,5.507570547286102,3,2,1.0
19,2026-08-15,9,9.0,19.0,,0.0,3.3333333333333335,,,4.856267428111155,4,2,1.0
